exchange,exchange_symbol,product_symbol,product_type,price_precision,size_precision,min_size,min_notional,size_per_contract
bybit,10000000AIDOGEUSDT,AIDOGE-USDT-SWAP,linear,0.0000001,100,100,5,1
bybit,1000000BABYDOGEUSDT,BABYDOGE-USDT-SWAP,linear,0.0000001,100,100,5,1
bybit,1000000CHEEMSUSDT,CHEEMS-USDT-SWAP,linear,0.0001,1,1,5,1
bybit,1000000MOGUSDT,MOG-USDT-SWAP,linear,0.0001,1,1,5,1
bybit,1000000PEIPEIUSDT,PEIPEI-USDT-SWAP,linear,0.00001,1,1,5,1
bybit,10000COQUSDT,COQ-USDT-SWAP,linear,0.000001,10,10,5,1
bybit,10000ELONUSDT,ELON-USDT-SWAP,linear,0.000001,100,100,5,1
bybit,10000LADYSUSDT,LADYS-USDT-SWAP,linear,0.0000001,100,100,5,1
bybit,10000QUBICUSDT,QUBIC-USDT-SWAP,linear,0.00001,10,10,5,1
bybit,10000SATSUSDT,SATS-USDT-SWAP,linear,0.000001,100,100,5,1
bybit,10000WENUSDT,WEN-USDT-SWAP,linear,0.0001,1,1,5,1
bybit,10000WHYUSDT,WHY-USDT-SWAP,linear,0.0000001,100,100,5,1
bybit,1000APUUSDT,APU-USDT-SWAP,linear,0.0001,1,1,5,1
bybit,1000BONKPERP,BONK-PERP-SWAP,linear,0.000001,10,10,5,1
bybit,1000BONKUSDT,BONK-USDT-SWAP,linear,0.0000010,100,100,5,1
bybit,1000BTTUSDT,BTT-USDT-SWAP,linear,0.0000001,100,100,5,1
bybit,1000CATSUSDT,CATS-USDT-SWAP,linear,0.000001,10,10,5,1
bybit,1000CATUSDT,CAT-USDT-SWAP,linear,0.000001,1,1,5,1
bybit,1000FLOKIUSDT,FLOKI-USDT-SWAP,linear,0.00001,1,1,5,1
bybit,1000LUNCUSDT,LUNC-USDT-SWAP,linear,0.00001,1,1,5,1
bybit,1000MUMUUSDT,MUMU-USDT-SWAP,linear,0.000001,10,10,5,1
bybit,1000NEIROCTOUSDT,NEIROCTO-USDT-SWAP,linear,0.00010,1,1,5,1
bybit,1000PEPEPERP,PEPE-PERP-SWAP,linear,0.0000010,100,100,5,1
bybit,1000PEPEUSDT,PEPE-USDT-SWAP,linear,0.0000010,100,100,5,1
bybit,1000RATSUSDT,RATS-USDT-SWAP,linear,0.00001,10,10,5,1
